Sample_ID,Heterozygous,Homozygous,Missing
TAMex0274.1,15.46,81.08,3.46
TAMex0276.1,21.77,73.45,4.78
TAMex0278.1,14.45,82.3,3.26
TAMex0280.3,22.79,62.87,14.34
TAMex0283.1,22.18,74.97,2.85
TAMex0284.1,23.3,71.21,5.49
TAMex0285.1,18.51,78.94,2.54
TAMex0286.2,16.89,76.5,6.61
TAMex0287.1,24.92,73.14,1.93
TAMex0288.1,24.21,72.02,3.76
TAMex0289.1,17.9,78.54,3.56
TAMex0291.1,22.89,72.84,4.27
TAMex0297.1,22.38,74.97,2.64
TAMex0299.1,25.43,66.94,7.63
TAMex0301.1,22.99,71.72,5.29
TAMex0304.2,27.16,69.38,3.46
TAMex0306.2,25.53,70.8,3.66
TAMex0307.2,24.52,67.24,8.24
TAMex0308.1,19.33,76.4,4.27
TAMex0311.2,23.4,72.74,3.87
TAMex0314.2,25.43,69.28,5.29
TAMex0316.2,18.72,76.81,4.48
TAMex0317.1,7.53,89.01,3.46
TAMex0318.1,24.31,70.3,5.39
TAMex0319.2,20.04,75.89,4.07
TAMex0324.1,22.58,73.35,4.07
TAMex0325.1,21.26,74.57,4.17
TAMex0328.2,11.6,85.15,3.26
TAMex0329.1,14.95,81.18,3.87
TAMex0330.1,22.38,74.87,2.75
TAMex0331.1,24.72,66.23,9.05
TAMex0332.2,23.5,73.04,3.46
TAMex0333.2,22.58,73.25,4.17
TAMex0335.1,23.09,71.41,5.49
TAMex0341.2,11.5,82.5,6
TAMex0342.1,22.38,74.97,2.64
TAMex0344.1,22.69,73.35,3.97
TAMex0347.2,24.52,70.91,4.58
TAMex0348.2,18.51,78.94,2.54
TAMex0349.2,22.28,71.52,6.21
TAMex0350.1,24.52,73.55,1.93
TAMex0351.2,23.8,71.41,4.78
TAMex0356.1,22.89,72.13,4.98
TAMex0358.2,21.36,74.36,4.27
TAMex0359.2,21.46,75.08,3.46
TAMex0360.3,22.89,72.33,4.78
TAMex0363.2,22.69,70.09,7.22
TAMex0364.1,25.64,69.48,4.88
TAMex0366.2,24.11,71.11,4.78
TAMex0368.2,23.6,72.23,4.17
TAMex0370.2,24.82,66.73,8.44
TAMex0372.2,21.77,75.58,2.64
TAMex0374.1,20.04,77.52,2.44
TAMex0377.1,24.31,72.74,2.95
TAMex0378.1,23.7,73.96,2.34
